questionid	existing_question_id	questiontype	totalanswers	question	questionImage	answer1	answer1Image	answer2	answer2Image	answer3	answer3Image	answer4	answer4Image	answer5	answer5Image	correctanswer	hint	hintImage	difficultylevel	question_type	status	worksheet_id	assigned_worksheet_ids	topic	attempt_counter	section_name	section_marks	section
140569	0	SingleAnswer	4	<p>The Parliament enjoys legislative power over subjects in:</p>		<p>The union list only.</p>		<p>The concurrent list only.</p>		<p>Both union and concurrent list.</p>		<p>All the three lists, viz. union list, state list and the concurrent list.</p>				c	<p>The Parliament enjoys legislative power over subjects in both union and concurrent list.</p>				Active	G09DEMDIV12		N	0		1	
145767	0	SingleAnswer	4	<p>Which of these require an active host program and active operating system in order for viruses to run, cause damage and infect other executable files or documents?</p>		<p>Virus</p>		<p>Worms</p>		<p>Computer Worms</p>		<p>Spyware</p>		0		a	<p>Worms are stand-alone malicious programs that can self-replicate and propagate via computer networks, without human help.</p>				Active	C10INTIND11		N	0		1	
145820	0	SingleAnswer	4	<p>It allow remote access or control of a computer by a third party. What is it?</p>		<p>Bugs</p>		<p>Rootkits</p>		<p>Trojan Horses</p>		<p>Bots</p>		F		b	<p>Once installed on your computer, rootkits allow attackers to take complete control of your machine to steal data or install other pieces of malware.</p>				Active	C10INTIND21		N	0		1	
146305	0	SingleAnswer	4	<p>If the last day of the month is Wednesday, then what will be the day on 16th of the next month?</p>		<p>Friday</p>		<p>Saturday</p>		<p>Sunday</p>		<p>Monday</p>				a	<p>Last day of the month is a Wednesday, then 16th of the next month will be Friday.</p>		0		Active	L04DAYJYO12		N	0		1	
146518	0	SingleAnswer	4	<p>Which of the following is the best example for a mixture?</p>		<p>Sugar solution</p>		<p>Air</p>		<p>Drinking water</p>		<p>All the above</p>				d	<p>A substance which is composed of two or more substances, in which each component retains its unique property, is called a mixture.</p>				Active	S06SORANJ11		N	0		1	
147599	165132	<p>SingleAnswer</p>	4	<p>Abdul, while driving to school, computes the average speed for his trip to be 20 km/h. On his return trip along the same route, there is less traffic and the average speed is 30 km/h. What is the average speed for Abdul&rsquo;s trip?</p>		<p>22 km/h</p>		<p>24 km/h</p>		<p>26 km/h</p>		<p>28 km/h</p>				b					Active	S09MIXMAN31		Science	0		1	
148864	0	SingleAnswer	4	I usually sleep by 10 p.m.		I		sleep		by		usually				d	The sentence requires an Adverb of Frequency.			Choose the adverb from the given sentences:	Active	E06ADVPRI32		N	0		1	
149567	0	SingleAnswer	4	Pakistan does not have good relations with the neighbouring countries.		relations		neighbouring		Pakistan		good				c				Choose the proper noun from the given sentence:	Active	E06NOUPRI22		N	0		1	
149638	0	SingleAnswer	4	Did you buy _____ grapes in the market?		This		These		Those		That				c				Fill with the correct demonstrative pronouns:	Active	E06PROPRI11		N	0		1	
151172	151172	SingleAnswer	4	<p>&nbsp;Which sound is made by the animal in the given image?</p>	E02SPEHIM11q47.png	<p>sing</p>		<p>oink</p>		<p>hiss</p>		<p>coo</p>				c	<p>Snake makes the sound of a hiss.</p>				Active	E02SPEHIM12		Spellings, Animals, Sounds, Clothes	0		1	
155181	155181	SingleAnswer	4	<p>What will come in blank (vii)?</p>	E01ARTHIM11Q16.png	<p>the</p>		<p>a</p>		<p>an</p>		<p>no article</p>		F		a			1	"<p>Fill in the blank using suitable article:</p> <p>Rabia was (i) ___ kind-hearted and a sweet girl. One day while crossing (ii) ____ bridge, she saw two boys on (iii) _____ stream, trying to drown (iv) _____ pup. So, she ran to (v) _____ shore, and crying loudly, &ldquo;Oh! How can you be so cruel to that poor little dog?&rdquo; (vi) _____ boys looked at her in wonder, and one of them said, &ldquo;Father told us to drown it."" The dog had reached (vii) ______ bank, crept toward Rabia. &ldquo;Poor little fellow,"" she said, patting his head, &ldquo;Will you give him to me?"" &ldquo;Yes,&rdquo; said (viii) _____ boys, &ldquo;You may have him and welcome."" Rabia thanked (ix) _____ boys and ran home.</p>"	Active	E01ARTHIM11		Articles	0		1	
156278	0	SingleAnswer	4	Identify the object in the image and give its correct spelling:	E01JUMUZM21q19.png	MUTIAONN		MAUNTION		MOUNTAIN		MUTNIAON				c	The correct unscrambled word is mountain.				Active	E01JUMUZM21		N	0		1	
156960	0	SingleAnswer	4	<p>Which of the following is a good habit?</p>		<p>Always skipping breakfast</p>		<p>Always keeping back straight when you sit or stand</p>		<p>Always eating food&nbsp;hurrily without chewing</p>		<p>Always eating uncovered food from the roadside</p>				b					Active	S01SAFVAN11		N	0		1	
157537	0	SingleAnswer	4	The figure is made up of how many circles?	M01GEOVAN12q32.png	6		5		7		9				d					Active	M01GEOVAN12		N	0		1	
158581	0	SingleAnswer	4	<p>The apple is&nbsp;kept in ____ of the table.</p>	L01SPADIK12q37.png	<p>below</p>		<p>front</p>		<p>under</p>		<p>Behind</p>				b					Active	L01SPADIK12		N	0		1	
161412	0	SingleAnswer	4	<p>A person leaves her office at the time shown in the clock and gets in a bus after 15 minutes of getting out . She gets home 8 O'clock . How long was the bus journey?</p>	L02EMBDIP21q4.png	<p>2Hrs</p>		<p>1hrs</p>		<p>1Hrs 30 minutes</p>		<p>None of these</p>				b	<p>The time shown by the clock is 6:45. She gets a bus after 15 mins (7:00). It takes her 1hr to reach home by bus(8:00).</p>		0		Active	L02EMBDIP21		N	0		1	
162336	0	SingleAnswer	4	<p>Complete the following pattern by filling in the blank.</p>	L01PATRAS11q9.png		L01PATRAS11q9a.png		L01PATRAS11q9b.png		L01PATRAS11q9c.png		L01PATRAS11q9d.png	C		c	<p>In the given pattern the rectangle and the circle have been placed alternatively, therefore the answer will be option 'c'.</p>				Active	L01PATRAS11		N	0		1	
162452	0	SingleAnswer	4	If figure no.18 is the first figure, which is the last figure?	L01RANRASH11q25.png	Figure 8		Figure 12		Figure 16		Figure 10				a					Active	L01RANRASH11		N	0		1	
164548	0	SingleAnswer	4	What is the principle on which working of electric generator is based?		Heat		Potential Difference		Heating effect of current		Electromagnetic Induction				d	The working of electric generator is based on the principle of electromagnetic induction.				Active	S07NUMARY11		N	0		1	
164602	0	<p>SingleAnswer</p>	4	<p>Judge the equivalent resistance when the following are connected in parallel:1 &Omega; and 103 &Omega;, and 106 &Omega;.</p>		<p>0.68 &Omega;</p>		<p>0.78 &Omega;</p>		<p>0.88 &Omega;</p>		<p>0.98 &Omega;</p>				d	<p>1 &Omega;, 103 &Omega; and 106 &Omega; 1/R = 1/1 + 1/103 + 1/106 = 11127/10918 &Omega; R = 0.98&Omega;</p>				Active	S07NUMHIM21		N	0		1	
164969	0	<p>SingleAnswer</p>	4	<p>A 50 kg crate is being pushed on a horizontal floor at a constant velocity. Given that the coefficient of kinetic friction between crate and floor is&nbsp;<em>&mu;<sub>k</sub></em>&nbsp;= 0.1, the coefficient of static friction between crate and floor is &mu;s = 0.2. What is the minimum force F to overcome friction with the floor?</p>		<p>92 N</p>		<p>94 N</p>		<p>96 N</p>		<p>98 N</p>				d					Active	S08NUMHIM12		N	0		1	
166544	166544	SingleAnswer	4	<p>Which device produces output on paper?</p>			C02MIXDEP21q44a.png		C02MIXDEP21q44b.png		C02MIXDEP21q44c.png		C02MIXDEP21q44d.png	F		c	<p>Image C i.e. printer is used to produce outputs on paper.</p>				Active	C02MIXDEP71		Cyber	0		1	
169575	169580	SingleAnswer	4	<p>How is this image related to safety?</p>	S01MIXANJ21q49.png	<p>We should obey traffic rules.</p>		<p>We should not lean outside the windows of buses.</p>		<p>We should obey your parents.</p>		<p>We should not play on roads.</p>		I		a	<p>The image shows that we should always use the zebra crossing while crossing the road. We should obey traffic rules to be safe.</p>				Active	S01MIXEXT21		Science	0		1	
170977	0	SingleAnswer	4	<p>Pick the figure that comes next in the following series:</p>	L07ANAMAN12q31.png	<p>1</p>		<p>2</p>		<p>3</p>		<p>4</p>				d	<p>Water images</p>				Active	L07ANAMAN12		N	0		1	
172014	0	SingleAnswer	4	Group the given figures into different classes using each figure only once.	L09GROBHU11q19.png	2,4,7 ; 1,6,9 ; 3,5,8		1,5,6 ; 2,3,4 ; 7,8,9		1,5,8 ; 2,4,7 ; 3,6,9		1,4,7 ; 2,6,9 ; 3,5,8				a	1, 6, 9 are figures which are half shaded by slanting lines. 2, 4, 7 are all divided into equal parts (either three or four parts) by straight lines and also have a black circle at the centre. 3, 5, 8 have similar designs and have their four corners shaded black.				Active	L09GROBHU11		N	0		1	
173580	0	SingleAnswer	4	<p>1. Inter 2. Iteration 3. Insulate 4. Ivy 5. Insulin</p>		<p>Insulate</p>		<p>Iteration</p>		<p>Insulin</p>		<p>Ivy</p>				d	<p>The correct order is 3, 5, 1, 2 and 4. Reverse of it is 4, 2, 1, 5 and 3. First number is 4.</p>		0	<p>Arrange the given words in Alphabetical Order and choose the one that comes first from the reverse order:</p>	Active	L10ANAPAL22		N	0		1	
178887	178887	SingleAnswer	4	Identify this water animal.	G01WATDIP11q19.png	Star fish		Jelly fish		Clown fish		Striped fish				c	It&rsquo;s a clown fish.				Active	G01WATDIP11		Water Animals	0		1	
183002	0	<p>SingleAnswer</p>	4	<p>Solve the following:<br />(2/3)<sup>&minus;2</sup> x (2/3)<sup>&minus;2</sup></p>		<p>(16 / 4)</p>		<p>(81 / 16)</p>		<p>(81 / 25)</p>		<p>(25 / 81)</p>				b					Active	M08EXPJYO31		N	0		1	
186663	92524	SingleAnswer	4	What is the National Tree of India?		Banana Tree		Peepal Tree		Banyan Tree		Mango Tree				c	The Banyan Tree is the National Tree of India since it is regarded as the most sacred and holy tree in India.				Active	G03MIX01011		N	0		1	
187118	136422	SingleAnswer	4	<p>When was the first international cricket game played?</p>		<p>1822</p>		<p>1811</p>		<p>1844</p>		<p>1833</p>				c	<p>The first ever international cricket game was between the US and Canada in 1844. The match was played at the grounds of the St George's Cricket Club in&nbsp;New York.</p>				Active	G04MIX01011		N	0		1	
187338	135902	<p>SingleAnswer</p>	4	<p>Where is the longest Railway Platform?</p>	G05LONSAN11q9.png	<p>Kerela</p>		<p>Khraghpur</p>		<p>West Bengal</p>		<p>Chhattisgarh</p>		F		b	<p>Khraghpur has the longest Railway Platform.</p>				Active	G05MIX00411		N	0		1	
188210	93966	SingleAnswer	4	<p>What was the amount of km covered by Prasad Erande while covering his longest journey by a bicycle around the country?</p>		<p>9057.1 miles</p>		<p>14576 km</p>		<p>Both a and b</p>		<p>None of the above</p>				c	<p>The longest journey by bicycle in a single country is 14576 km (9057.1 miles) and was achieved by Prasad Erande (India), who rode throughout India from 22 June 2014 to 9 November 2014.</p>				Active	G06MIX00911		N	0		1	
190500	99154	SingleAnswer	4	B.C. Roy Award is given in the field of __________.		Journalism		Medicine		Geology		Language				a	B.C. Roy Award is given in the field of Journalism.				Active	G10MIX00711		N	0		1	
191330		SingleAnswer	4	<p>Which was the following book was written by Gandhi?</p>		<p>Discovery of India</p>		<p>My Experiment with Truth</p>		<p>India wins Freedom</p>		<p>Freedom at Midnight</p>		0		b	<p>My Experiment with Truth was written by Gandhi.</p>				Active	G02BOOUZM11		N	0		1	
191795		SingleAnswer	4	What is the name of the two wheeled horse-drawn carriage, popular with tourists around the Central Park area of New York City?	G02TRAUZM11q17.png	Sterquell Wagon		Hansom Cab		Buckboard		Hearse				b	The hansom cab is a kind of horse-drawn carriage designed and patented in 1834 by Joseph Hansom, an architect from York. The vehicle was developed and tested by Hansom in Hinckley, Leicestershire, England.				Active	G02TRAUZM11		N	0		1	
193460	193460	SingleAnswer	4	Which country contains the Southern half of the tallest mountain in the world?		Afghanistan		India		Nepal		Myanmar				c	Nepal contains the Southern half of the tallest mountain in the world.				Active	G08SAAUZM12		SAARC	0		1	
219521		SingleAnswer	4	Which of the following statements is true?		[(5/9)/(1/3)]/(5/2) = (5/9)/[(1/3)/(5/2)]		{(-16)/(6/5)}/(-9/10) = (-16)/{(6/5)/(-9/10)}		[(-3/5)/(-12/35)]/(1/14) = (-3/5)/[(-12/35)/(1/14)]		[(-7/16)/1] = -7/16				d					Active	M08L02JYO31			0		1	
227044		SingleAnswer	4	<p>Small pox is caused by ________.</p>		<p>Bacteria</p>		<p>Fungi</p>		<p>Protozoa</p>		<p>Virus</p>		0		d	<p>Smallpox is caused by infection with the variola virus.</p>				Active	S04L02ALP21		Miscellaneous	0		1	
227092		SingleAnswer	4	<p>We excrete waste products through sweat, urine and stool. _________ is needed for all these activities.</p>		<p>Potassium</p>		<p>Vitamin K</p>		<p>Water</p>		<p>Mineral</p>		C		c	<p>We excrete waste products through sweat, urine and stool. Water is needed for all these activities.</p>				Active	S04L02ALP41		Miscellaneous	0		1	
237686		SingleAnswer	4	Fill in the blank with correctly spelled word:<br>The magician used great _____________ in performing his tricks before the attentive audience.		legerdemain		legerdomain		legardemain		lagerdemain				a	"""Legerdemain"" mains sleight of hand."				Active	E07L02MAH12			0		1	
237785		SingleAnswer	4	<p>Fill in the blanks with conjunctions.<br />Sansa had ___________ recovered from dengue ________ she met with an accident. Her body is too weak to recover from this fast.</p>		<p>hardly,&nbsp; when</p>		<p>not only, but also</p>		<p>no sooner, than</p>		<p>so, as</p>				a	"<p>""Hardly"" means barely.</p>"				Active	E07L02MAH42		Miscellaneous	0		1	
242863		SingleAnswer	4	Find which of the following has been correctly punctuated:		"""I want you to get the moon for the Princess Lenore,"" said the King. ""If she can have the moon, she'll get well again. Get it tonight, tomorrow at the latest.""<br>""The moon,"" said the Prime Minister, ""is 35,000 miles away and it is bigger than the room the Princess lies in and it is made of copper. I cannot get the moon for you."" <br>The King flew into a rage and told the Prime Minister to leave the room and to send the Royal Magician to him ."		"""I want you to get the moon for the Princess Lenore,"" said the King. ""If she can have the moon, she'll get well again. get it tonight, tomorrow at the latest.""<br>The moon said the Prime Minister, ""is 35,000 miles away and it is bigger than the room the Princess lies in and it is made of copper. I cannot get the moon for you."" <br>The King flew into a rage and told the Prime Minister to leave the room and to send the Royal Magician to him ."		"""I want you to get the moon for the Princess Lenore,"" said the King If she can have the moon she ll get well again Get it tonight, tomorrow at the latest.""<br>""The moon,"" said the Prime Minister, ""is 35,000 miles away and it is bigger than the room the Princess lies in and it is made of copper. I cannot get the moon for you."" <br>The King flew into a rage and told the Prime Minister to leave the room and to send the Royal Magician to him"		"""i want you to get the moon for the Princess lenore,"" said the King. ""If she can have the moon, she'll get well again. Get it tonight, tomorrow at the latest.""<br>""The moon,"" said the prime minister, ""is 35,000 miles away and it is bigger than the room the Princess lies in and it is made of copper. I cannot get the moon for you."" <br>The King flew into a rage and told the Prime Minister to leave the room and to send the Royal Magician to him ."				a					Active	E08L02MAH11			0		1	
243322	0	SingleAnswer	4	<p>In a cricket match, a batsman hits a sixer 6 times out of 32 balls played. Find the probability that&nbsp;a sixer is not hit in a ball.</p>		<p>0.45</p>		<p>0.25</p>		<p>0.75</p>		<p>0.5</p>		F		c					Active	M09L02DEP41		Miscellaneous	0		1	
244266		SingleAnswer	4	"""Derrick is a selfish person. He will some day put us all in trouble.""<br>Choose sentences by changing the adjective to a noun. Choose from the following."		Derrick's selfishy will some day put us all in trouble.		Derrick's selfishness will some day put us all in trouble.		Derrick's selfishence will some day put us all in trouble.		Derrick's selfishance will some day put us all in trouble.				b	"""Selfishness"" is the nominalised form of ""selfish"" and this follows the process of adding ""-ness"" as a suffix."				Active	E10L02MAH81			0		1	
244372		SingleAnswer	4	"""Mitchel is confident about himself. This can help him getting a good job.""<br>Choose the sentence that uses the correct nominalised form of the adjective from the following."		Mitchel's confidency can help him get a good job.		Mitchel's confidentiality can help him get a good job.		Mitchel's confidentence can help him get a good job.		Mitchel's confidence can help him get a good job.				d	"The nominalised form of ""confident"" is ""confidence"" and this follows the process of adding ""-nce"" as a suffix with modifications."				Active	E10L02MAH12			0		1	
244922		SingleAnswer	4	Fill in the blank with modal:<br>The Vice Chairman of our committee __________ deliver his budget speech tomorrow morning.		shall		should		will		would				c	"""Will"" is used for formal announcements regarding some future event."				Active	E09L02MAH51			0		1	
247530	63990	SingleAnswer	4	What type of webpage provides an overview of all the pages on a website?		Larry Page		Site Map		Home Page		About Page		F		b					Active	C04INUJYO22		N	0		1	
247541	145566	SingleAnswer	4	To insert a chart in a microsoft powerpoint presentation, Which of these options should a student choose?		Insert- > Chart		Insert->Pictures->Chart		Insert->clipart->chart		Insert -> Smartart --> Chart				a					Active	C04MSPIND11		N	0		1	
249692	0	SingleAnswer	4	<p>What is the shortcut to save a document?</p>		<p>Ctrl + V</p>		<p>Ctrl + C</p>		<p>Ctrl + Z</p>		<p>Ctrl + S</p>		F		d	<p>Ctrl + S is the shortcut to save a document.</p>				Active	C03TESDEE31		N	0		1	
264320			4	<p>A rectangular piece of paper is folded along its diagonal line. The length and width of the rectangle are 10 cm and 5 cm respectively. Find the area of the overlapped region.</p>	M09EXTRAA02Q135.png	<p>15 <sup>5</sup>/<sub>8</sub> cm<sup>2</sup></p>		<p>11&nbsp;<sup>3</sup>/<sub>8</sub>&nbsp;cm<sup>2</sup></p>		<p>7&nbsp;<sup>5</sup>/<sub>8</sub>&nbsp;cm<sup>2</sup></p>		<p>19&nbsp;<sup>3</sup>/<sub>8</sub>&nbsp;cm<sup>2</sup></p>				a	<p>Use pythagoras Theorem,<br />x<sup>2 </sup>= 5<sup>2</sup> + (10 - x<sup>2</sup>)<br />x<sup>2</sup> = 25 + 100 - 20x + x<sup>2<br /></sup>x = 6 1/4 cm<br />Area of shaded region<br />= 1/2 x 6 1/4 x 5<br />= 125/8<br />=15 5/8 cm<sup>2</sup></p>		1		Active	M10TRIJYO11		Geometric Problem	0		1	
281079		<p>Arihant general science</p>	4	<p>Lack of atmosphere around the moon is due to ____________.</p>		<p>low escape velocity of air molecule and low gravitational attraction</p>		<p>high escape velocity of air molecule and low gravitational attraction</p>		<p>low gravitational attraction only</p>		<p>high escape velocity of air molecule only</p>				a			1	<p>Fill in the blank:</p>	Active	S09GRAVAN21		Gravitation	0		1	
284567		<p>Pearson IIT Foundation Series Physics 7</p>	4	<p>Choose the correct option:</p> <p>Assertion (A): Clinical thermometer cannot be used to measure the temperature of melting ice.<br />Reason (R): The range of clinical thermometer is from 35<sup>o</sup>C to 42<sup>o</sup>C.</p>		<p>Both A and R are correct and R is the correct explanation of A.</p>		<p>Both A and R are correct and R is not the correct explanation of A.</p>		<p>A is correct and R is incorrect.</p>		<p>Both A and R are incorrect.</p>				a			1		Active	S07HEAROH22		Heat	0		1	
327294		<p>Somya Gupta</p>	4	<p>An aluminium strip is kept immersed in freshly prepared ferrous sulphate solution taken in a test tube, the change observed is that ___________.</p>		<p>green solution slowly turns&nbsp;colourless</p>		<p>lower end of test tube become slightly warm</p>		<p>a colourless gas with the smell of burning sulphur is observed</p>		<p>light green solution changes to blue</p>		F		a			1		Active	S08TESSOF16		Metals and Non-metals	0		1	
335648	124144	SingleAnswer	4	<p>If grey means orange, orange means purple, purple means brown, then which of the following is a colour of rainbow?</p>		<p>Grey</p>		<p>Orange</p>		<p>Purple</p>		<p>Brown</p>				c	"<p style=""text-align: left;"">Orange is one of the colour in rainbow and orange means purple.</p>"				Active	S05MIXHEM71		Critical thinking	0		1	
339583		Ravi	4	A snail crawls on a vertical rock face that is 5 feet high. The snail climbs up 3 feet in a day and then rests through the night. Each night it slides down 2 feet while it rests. If it starts at the bottom on the morning of September 1, on what day of the month does it first reach the top of the rock face?		September 2		September 3		September 4		September 5		F		b	At the end of the day of September 1, it will be at 3 feet away from the bottom.<br>In the morning of September 2, it will be at 1 foot away from the bottom.<br>At the end of the day of September 2, it will be at 4 feet away from the bottom.<br>In the morning of September 3, it will be at 2 feet away from the bottom.<br>At the end of the day of September 3, it will be at 5 feet away from the bottom. The snail is at the<br>top.<br>The answer is September 3.		1		Active	M08NMTCRK09			0		1	
422957	79224	<p>SingleAnswer</p>	4	<p>Which animal constitute the highest population of the zoo?</p>		<p>Tiger</p>		<p>Monkey</p>		<p>Lion</p>		<p>Deer</p>				b				<p>In a zoo, there are 12 monkeys, 3 tigers, 4 crocodiles, 2 lions, 6 rabbits and 5 deers.</p>	Active	M07DATRIA22		Data Handling | Range, frequency	0		1	
423895	0	<p>SingleAnswer</p>	4	<p>The reciprocal of 2 <sup>13</sup>/<sub>33</sub> is _________.</p>		<p>79/33</p>		<p>33/66</p>		<p>33/79</p>		<p>66/33</p>				c	<p>= 2 <sup>13</sup>/<sub>33</sub> = (66 + 13)/33 = 79/33 =&gt; Reciprocal of 79/33 = 33/79</p>				Active	M07RATGUN03		Rational Numbers | Reciprocal of rational numbers	0		1	
424026	0	<p>SingleAnswer</p>	4	<p>Solve the equation and find the value of variable: <br />3 - 2(3 - x) = 19</p>		<p>x = (-11)</p>		<p>x = 11</p>		<p>x = 15</p>		<p>x = (-12)</p>				b					Active	M07SIMALO22		Simple Equations | Solving simple equations	0		1	
252215		Arpita	4	What is the main function of a command interpreter?		To provide the interface between the API and application program.		To get and execute the next user-specified command.		To handle the files in operating system.		None of these				b	The main function of the command interpreter is to get and execute the next user-specified command. Thus, option b is the correct option.		1		Active	C09CREST001	C09CREST001	Operating System Functions	0	Computers & IT	1	0
265970		SingleAnswer	4	<p>What colour do the leaves of black tea turn into after fermenting?</p>		<p>bright silver</p>		<p>bright golden</p>		<p>black</p>		<p>bright copper</p>				d	"<p>First sentence of the third paragraph reflects the answer ""After rolling, the leaves are spread out in a damp atmosphere and left to ferment to a bright coppery color. ""</p>"		2a	<p>Read the passage and answer the question:</p>  <p>There are two main types of tea. One of them is green tea, which is picked, quickly made and fully dried. It has a greenish colour and mild flavour. It is very popular in China and Japan.<br />Black tea is darker in colour and stronger in flavour. This is the most favourite tea in Europe. The leaves are only partly dried. They are then put into rolling machines, which break up the leaf cells. This releases the natural juices which give tea its special taste. It also gives a twist to the leaf.<br />After rolling, the leaves are spread out in a damp atmosphere and left to ferment to a bright coppery colour. The fermented leaf is dried in hot air to become our familiar black tea.</p>	Active	E03CREST002	E03CREST002	Information Retrieval	0	Achievers' Section (Each Question 2 Marks)	2	0
265975		Monika	4	<p>Clark: Hi___ How are you____</p>  <p>Ivan: Hello____. I am fine.</p>		<p>! ? !</p>		<p>, ? .</p>		<p>! . !</p>		<p>. ? !</p>				a			2	<p>Fill in the blanks with the correct punctuation marks:</p>	Active	E02CREST004	E02CREST004	Spoken And Written Expressions	0	Achievers' Section (Each Question 2 Marks)	2	0
266513		SingleAnswer	4	<p>______ Soviet Union was _____ first country to send a man into _____ space.</p>		<p>no article, the, the</p>		<p>The, the, no article required</p>		<p>no article, the, no article</p>		<p>The, the, the</p>				b	<p>The' is used before names of some countries and ordinal number series.</p>		1	<p>Choose the correct option to fill in the blanks:</p>	Active	E05L02CRE02	E05L02CRE02	Articles	0	English Language (Each Question 1 Mark)	1	0
267477		SingleAnswer	4	<p>Which of the following can not be used by people to travel from one place to another?</p>			S03CREST005q32d.png		S03CREST005q32c.png		S03CREST005q32b.png		S03CREST005q32a.png			c			1		Active	S03CREST005	S03CREST005	Transport and Communication	0	Practical Science (Each Question 1 Mark)	1	0
267807		SingleAnswer	4	<p>What is the similarity seen in the group of plants as written below?<br /><br />Pepper, Coriander, Cardamom, Cumin</p>		<p>They are all medicinal plants.</p>		<p>We eat the roots of these plants.</p>		<p>We eat the leaves of these plants.</p>		<p>These are plant products which are used as spices to cook food.</p>				d	<p>Pepper, cardamom, cumin and coriander seeds are plant products which are used as spices in daily cooking of food.</p>		1		Active	S04CREST004	S04CREST004	Plants	0	Practical Science (Each Question 1 Mark)	1	0
268140		Shikha	4	<p>Pleasure : Sorrow :: Right : ?</p>		<p>Wrong</p>		<p>Wonderful</p>		<p>Happy</p>		<p>Sure</p>				a	<p>Pair of antonyms.</p>		1	<p>In the following question, there is a certain relationship between two given words on one side of (::). Find the word on the other side so that the second pair has the similar relationship&nbsp;as the first pair:</p>	Active	L04CREST012	L04CREST012	Analogy and Classification	0	Logical Reasoning (Each Question 1 Mark)	1	0
272889		SingleAnswer	4	<p>If P is to the South of Q, R is the East of Q then what direction is P with respect to R?</p>		<p>North-East</p>		<p>North-West</p>		<p>South-West</p>		<p>South-East</p>				c			1		Active	L07CREST002	L07CREST002	Direction Sense Test	0	Logical Reasoning (Each Question 1 Mark)	1	0
274593		SingleAnswer	4	<p>Given below are two groups of materials namely group X and group Y:<br /><strong>Group X -</strong> Sugar and water, vinegar and water<br /><strong>Group Y -</strong> Chalk and water, iron filings and sand</p> <p>On what basis have they been grouped?</p>		<p>Group X - They are homogenous mixtures.<br />Group Y - They are heterogenous mixtures.</p>		<p>Group X - They are heterogenous mixtures.<br />Group Y - They are homogenous mixtures.</p>		<p>Group X - They are hard substances.<br />Group Y - They are soft substances.</p>		<p>Group X - They are soft substances.<br />Group Y - They are hard substances.</p>				a	<p>Heterogeneous mixtures are those mixtures where the constituents are not evenly spread throughout the mixture and part of the mixture does not have the same properties.<br />A mixture of sugar and water is a homogeneous mixture. Homogeneous mixtures are those in which, the different substances present in them, called components or constituents, are uniformly spread.</p>		1		Active	S06CREST002	S06CREST002	Sorting and Separation of Materials	0	Practical Science (Each Question 1 Mark)	1	0
278362		<p>Arpita</p>	4	"<p>Which devices allow you to draw in MS Paint?</p> <p><audio controls=""controls""><source src=""https://crestolympiads.com/assets/audio-class01/278362.mp3"" /></audio></p>"			C01CREST003Q2a.png		C01CREST003Q2b.png		C01CREST003Q2c.png		C01CREST003Q2d.png			a			1		Active	C01CREST009	C01CREST009	Computers - A Smart Machine	0	Computers and IT (Each Question 1 Mark)	1	0
280595		SingleAnswer	4	<p>Stacy is the employee _________ I have recruited as my assistant.</p>		<p>who</p>		<p>whom</p>		<p>whose</p>		<p>all of the above</p>				b			1	<p>Fill in the blank using the most appropriate pronoun:</p>	Active	E07CREST004	E07CREST004	Nouns	0	English Language (Each Question 1 Mark)	1	0
281472		SingleAnswer	4	<p><strong>Assertion:</strong> Intercropping checks the population of insects.</p>  <p><strong>Reason:</strong> Plant pests can be controlled biologically by their natural parasites and pathogens.</p>		<p>Both assertion and reason are true and reason is the correct explanation of assertion.</p>		<p>Both assertion and reason are true but reason is not the correct explanation of assertion.</p>		<p>Assertion is true but reason is false.</p>		<p>Both assertion and reason are false.</p>				b			1	<p>In the following question, an assertion and reason are given. Choose the correct option:</p>	Active	S09CREST003	S09CREST003	Improvement in Food Resources	0	Practical Science (Each Question 1 Mark)	1	0
281991		Monika	4	"Make a word using both the images:<br><audio controls=""controls""><source src=""https://crestolympiads.com/assets/audio-class01/281991.mp3"" /></audio>"	E01EXTRAA11Q146.png	startfish		starfish		starsfish		jellyfish				b			1		Active	E01CREST005	E01CREST005	Odd One Out-Word Pair	0	English Language (Each Question 1 Mark)	1	0
282380		SingleAnswer	4	Consider the following statements and choose the correct option:<br />Statement 1: Aluminium is found in a free state.<br />Statement 2:&nbsp;A student puts one big iron nail each in four test tubes containing solutions of zinc sulphate, aluminium sulphate, copper sulphate and iron sulphate. A reddish-brown coating was observed only on the surface of the iron nail which was put in the solution of aluminium sulphate.		Statement 1 is correct but statement 2 is incorrect.		Statement 1 is incorrect but statement 2 is correct.		Both statement 1 and 2 are correct		Both statement 1 and 2 are incorrect				d			1		Active	S08CREST004	S08CREST004	Chemical Effects of Electric Current	0	Practical Science (Each Question 1 Mark)	1	0
282590		Arahant general science	4	<p>Which of the following statements is correct?</p>		<p>A charged particle can be accelerated by a magnetic field.</p>		<p>A charged particle cannot be accelerated by a magnetic field.</p>		<p>The speed of a charged particle can be increased by a uniform magnetic field.</p>		<p>The speed of a charged particle can be increased by a non-uniform magnetic field.</p>				a			2		Active	S10L02CRE02	S10L02CRE02	Electricity	0	Achievers' Section (Each Question 2 Marks)	2	0
